Invoice ID,Customer type,Gender,Product line,Unit price,Quantity,Total,Payment,Rating
750-67-8428,Member,Female,Health and beauty,74.69,7,5.489.715,Ewallet,9.1
226-31-3081,Normal,Female,Electronic accessories,15.28,5,80.22,Cash,9.6
631-41-3108,Normal,Male,Home and lifestyle,46.33,7,3.405.255,Credit card,7.4
123-19-1176,Member,Male,Health and beauty,58.22,8,489.048,Ewallet,8.4
373-73-7910,Normal,Male,Sports and travel,86.31,7,6.343.785,Ewallet,5.3
699-14-3026,Normal,Male,Electronic accessories,85.39,7,6.276.165,Ewallet,4.1
355-53-5943,Member,Female,Electronic accessories,68.84,6,433.692,Ewallet,5.8
315-22-5665,Normal,Female,Home and lifestyle,73.56,10,772.38,Ewallet,8
665-32-9167,Member,Female,Health and beauty,36.26,2,76.146,Credit card,7.2
692-92-5582,Member,Female,Food and beverages,54.84,3,172.746,Credit card,5.9
351-62-0822,Member,Female,Fashion accessories,14.48,4,60.816,Ewallet,4.5
529-56-3974,Member,Male,Electronic accessories,25.51,4,107.142,Cash,6.8
365-64-0515,Normal,Female,Electronic accessories,46.95,5,2.464.875,Ewallet,7.1
252-56-2699,Normal,Male,Food and beverages,43.19,10,453.495,Ewallet,8.2
829-34-3910,Normal,Female,Health and beauty,71.38,10,749.49,Cash,5.7
299-46-1805,Member,Female,Sports and travel,93.72,6,590.436,Cash,4.5
656-95-9349,Member,Female,Health and beauty,68.93,7,5.066.355,Credit card,4.6
765-26-6951,Normal,Male,Sports and travel,72.61,6,457.443,Credit card,6.9
329-62-1586,Normal,Male,Food and beverages,54.67,3,1.722.105,Credit card,8.6
319-50-3348,Normal,Female,Home and lifestyle,40.3,2,84.63,Ewallet,4.4
300-71-4605,Member,Male,Electronic accessories,86.04,5,451.71,Ewallet,4.8
371-85-5789,Normal,Male,Health and beauty,87.98,3,277.137,Ewallet,5.1
273-16-6619,Normal,Male,Home and lifestyle,33.2,2,69.72,Credit card,4.4
636-48-8204,Normal,Male,Electronic accessories,34.56,5,181.44,Ewallet,9.9
549-59-1358,Member,Male,Sports and travel,88.63,3,2.791.845,Ewallet,6
227-03-5010,Member,Female,Home and lifestyle,52.59,8,441.756,Credit card,8.5
649-29-6775,Normal,Male,Fashion accessories,33.52,1,35.196,Cash,6.7
189-17-4241,Normal,Female,Fashion accessories,87.67,2,184.107,Credit card,7.7
145-94-9061,Normal,Female,Food and beverages,88.36,5,463.89,Cash,9.6
848-62-7243,Normal,Male,Health and beauty,24.89,9,2.352.105,Cash,7.4
871-79-8483,Normal,Male,Fashion accessories,94.13,5,4.941.825,Credit card,4.8
149-71-6266,Member,Male,Sports and travel,78.07,9,7.377.615,Cash,4.5
640-49-2076,Normal,Male,Sports and travel,83.78,8,703.752,Cash,5.1
595-11-5460,Normal,Male,Health and beauty,96.58,2,202.818,Credit card,5.1
183-56-6882,Member,Female,Food and beverages,99.42,4,417.564,Ewallet,7.5
232-16-2483,Member,Female,Sports and travel,68.12,1,71.526,Ewallet,6.8
129-29-8530,Member,Male,Sports and travel,62.62,5,328.755,Ewallet,7
272-65-1806,Normal,Female,Electronic accessories,60.88,9,575.316,Ewallet,4.7
333-73-7901,Normal,Female,Health and beauty,54.92,8,461.328,Ewallet,7.6
777-82-7220,Member,Male,Home and lifestyle,30.12,8,253.008,Cash,7.7
280-35-5823,Member,Female,Home and lifestyle,86.72,1,91.056,Ewallet,7.9
554-53-8700,Member,Male,Home and lifestyle,56.11,2,117.831,Cash,6.3
354-25-5821,Member,Female,Sports and travel,,6,435.456,Cash,5.6
228-96-1411,Member,Female,Food and beverages,98.7,8,829.08,Cash,7.6
617-15-4209,Member,Male,Health and beauty,15.37,2,32.277,Cash,7.2
132-32-9879,Member,Female,Electronic accessories,93.96,4,394.632,Cash,9.5
370-41-7321,Member,Male,Health and beauty,56.69,9,5.357.205,Credit card,8.4
727-46-3608,Member,Female,Food and beverages,20.01,9,1.890.945,Ewallet,4.1
669-54-1719,Member,Male,Electronic accessories,18.93,6,119.259,Credit card,8.1
574-22-5561,Member,Female,Fashion accessories,82.63,10,867.615,Ewallet,7.9
326-78-5178,Member,Male,Food and beverages,91.4,7,671.79,Cash,9.5
162-48-8011,Member,Female,Food and beverages,44.59,5,2.340.975,Cash,8.5
616-24-2851,Member,Female,Fashion accessories,17.87,4,75.054,Ewallet,6.5
778-71-5554,Member,Male,Fashion accessories,15.43,1,162.015,Credit card,6.1
242-55-6721,Normal,Male,Home and lifestyle,16.16,2,33.936,Ewallet,6.5
399-46-5918,Normal,Female,Electronic accessories,85.98,8,722.232,Cash,8.2
106-35-6779,Member,Male,Home and lifestyle,44.34,2,93.114,Cash,5.8
635-40-6220,Normal,Male,Health and beauty,89.6,8,752.64,Ewallet,6.6
817-48-8732,Member,Female,Home and lifestyle,72.35,10,759.675,Cash,5.4
120-06-4233,Normal,Male,Electronic accessories,30.61,6,192.843,Cash,9.3
285-68-5083,Member,Female,Sports and travel,24.74,3,77.931,Credit card,10
803-83-5989,Normal,Male,Home and lifestyle,55.73,6,351.099,Ewallet,7
347-34-2234,Member,Female,Sports and travel,55.07,9,5.204.115,Ewallet,10
199-75-8169,Member,Male,Sports and travel,15.81,10,166.005,Credit card,8.6
853-23-2453,Member,Male,Health and beauty,75.74,4,318.108,Cash,7.6
877-22-3308,Member,Male,Health and beauty,15.87,10,166.635,Cash,5.8
838-78-4295,Normal,Female,Health and beauty,33.47,2,70.287,Ewallet,6.7
109-28-2512,Member,Female,Fashion accessories,97.61,6,614.943,Ewallet,9.9
232-11-3025,Normal,Male,Sports and travel,78.77,10,827.085,Cash,6.4
382-03-4532,Member,Female,Health and beauty,18.33,1,192.465,Cash,4.3
393-65-2792,Normal,Male,Food and beverages,89.48,10,939.54,Credit card,9.6
796-12-2025,Normal,Male,Fashion accessories,62.12,10,652.26,Cash,5.9
510-95-6347,Member,Female,Food and beverages,48.52,3,152.838,Ewallet,4
841-35-6630,Normal,Female,Electronic accessories,75.91,6,478.233,Cash,8.7
287-21-9091,Normal,Male,Home and lifestyle,74.67,9,7.056.315,Ewallet,9.4
732-94-0499,Normal,Female,Electronic accessories,41.65,10,437.325,Credit card,5.4
263-10-3913,Member,Male,Fashion accessories,49.04,9,463.428,Credit card,8.6
381-20-0914,Member,Female,Fashion accessories,20.01,9,1.890.945,Credit card,5.7
829-49-1914,Member,Female,Food and beverages,78.31,10,822.255,Ewallet,
756-01-7507,Normal,Female,Health and beauty,20.38,5,106.995,Cash,6
870-72-4431,Normal,Female,Health and beauty,99.19,6,624.897,Credit card,5.5
